Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-07-10 00:00:00-04:00,292.6598001999359,295.98389945969103,291.2165781537838,295.7138671875,57550400,0.0,0.0,0.0
2020-07-13 00:00:00-04:00,298.07875853479777,300.48103005814,292.4920514972507,293.15313720703125,102997500,0.0,0.0,0.0
2020-07-14 00:00:00-04:00,291.71930166107177,297.73434529977044,290.508859446234,296.95220947265625,93657000,0.0,0.0,0.0
2020-07-15 00:00:00-04:00,300.2017521661354,300.788361041621,297.27802806148213,299.6803283691406,87196500,0.0,0.0,0.0
2020-07-16 00:00:00-04:00,297.7622109269967,299.1495675503817,297.1104170095134,298.6933288574219,54622500,0.0,0.0,0.0
2020-07-17 00:00:00-04:00,299.7083084826566,300.35078226613393,297.7157020433569,299.559326171875,62774900,0.0,0.0,0.0
2020-07-20 00:00:00-04:00,299.289309945815,302.73445857993903,298.5351064928291,301.9802551269531,56308800,0.0,0.0,0.0
2020-07-21 00:00:00-04:00,303.9634929033391,304.4104113727864,301.62637755014066,302.6226806640625,57292200,0.0,0.0,0.0
2020-07-22 00:00:00-04:00,302.25951962353054,304.66181996832336,302.14779001037107,304.34521484375,57792900,0.0,0.0,0.0
2020-07-23 00:00:00-04:00,303.9821005241788,304.6897593109272,299.33583070652713,300.7138671875,75738000,0.0,0.0,0.0
2020-07-24 00:00:00-04:00,298.8423762511538,299.8107186506547,297.25946405834327,298.7771911621094,73766600,0.0,0.0,0.0
2020-07-27 00:00:00-04:00,299.47558001696007,301.13296943575403,298.6748035118933,300.9560546875,48293000,0.0,0.0,0.0
2020-07-28 00:00:00-04:00,300.22036953174586,301.34704276942347,298.749215596455,299.04718017578125,57495000,0.0,0.0,0.0
2020-07-29 00:00:00-04:00,299.9317434897633,303.2930944461457,299.8944908112124,302.72509765625,48454200,0.0,0.0,0.0
2020-07-30 00:00:00-04:00,299.726979115861,302.06409517322885,297.62267105209804,301.64508056640625,61861700,0.0,0.0,0.0
2020-07-31 00:00:00-04:00,303.451367360291,304.13109376758774,299.19615104438884,304.0286560058594,84986800,0.0,0.0,0.0
2020-08-03 00:00:00-04:00,305.704768280188,306.91521070876695,305.1554118908806,306.14239501953125,53077900,0.0,0.0,0.0
2020-08-04 00:00:00-04:00,305.27632765927575,307.3247985839844,305.27632765927575,307.3247985839844,41917900,0.0,0.0,0.0
2020-08-05 00:00:00-04:00,308.6377721826393,309.49441348854435,308.3677399296783,309.2336730957031,42697700,0.0,0.0,0.0
2020-08-06 00:00:00-04:00,308.64705620584135,311.4217701214522,308.3211591685427,311.30072021484375,43679400,0.0,0.0,0.0
2020-08-07 00:00:00-04:00,310.3230500920838,311.8128447873176,309.4105440925789,311.5242004394531,57308300,0.0,0.0,0.0
2020-08-10 00:00:00-04:00,311.9804733906379,312.6415593808264,310.0251194150161,312.4553527832031,44282100,0.0,0.0,0.0
2020-08-11 00:00:00-04:00,313.64711317503077,314.2895868870968,309.14050533281323,309.8760681152344,69601100,0.0,0.0,0.0
2020-08-12 00:00:00-04:00,312.3342967703969,314.9786690950141,312.30636436052487,314.196533203125,53774400,0.0,0.0,0.0
2020-08-13 00:00:00-04:00,313.4236318971202,314.9506791323378,312.6973609576909,313.62847900390625,41816100,0.0,0.0,0.0
2020-08-14 00:00:00-04:00,313.2373519836768,314.17779008307343,312.50176094309535,313.6377258300781,47260400,0.0,0.0,0.0
2020-08-17 00:00:00-04:00,314.66205716261123,315.03449872445947,313.64714183000024,314.6341247558594,35481000,0.0,0.0,0.0
2020-08-18 00:00:00-04:00,315.03455127900327,315.7422102553964,313.4237064463358,315.31390380859375,38733900,0.0,0.0,0.0
2020-08-19 00:00:00-04:00,315.6956206421276,316.21704457129255,313.4330101907006,314.0010070800781,68054200,0.0,0.0,0.0
2020-08-20 00:00:00-04:00,312.2597300176096,315.4627783254969,312.12938826898665,314.9786071777344,42207800,0.0,0.0,0.0
2020-08-21 00:00:00-04:00,314.6434662209169,316.319467569846,314.2989286271465,316.09600830078125,55106600,0.0,0.0,0.0
2020-08-24 00:00:00-04:00,318.5541301945182,319.3735186956646,316.0680606992591,319.2990417480469,48588700,0.0,0.0,0.0
2020-08-25 00:00:00-04:00,319.86702552254167,320.50017906183126,318.6938075290856,320.4163818359375,38463400,0.0,0.0,0.0
2020-08-26 00:00:00-04:00,321.0123138413024,323.89875747602053,320.46295752322794,323.6287536621094,50790200,0.0,0.0,0.0
2020-08-27 00:00:00-04:00,324.5039876047478,325.79822702551655,322.660363483315,324.33636474609375,58034100,0.0,0.0,0.0
2020-08-28 00:00:00-04:00,325.36990612519185,326.5617361382139,324.1687558383631,326.4313659667969,48588900,0.0,0.0,0.0
2020-08-31 00:00:00-04:00,326.2171804416808,327.1017254475486,325.0160303262566,325.2488098144531,66099200,0.0,0.0,0.0
2020-09-01 00:00:00-04:00,326.0868395952134,328.414634686384,325.1836539632205,328.3122253417969,54908700,0.0,0.0,0.0
2020-09-02 00:00:00-04:00,330.239687258978,334.0386368138728,329.0850814287248,333.06097412109375,69540000,0.0,0.0,0.0
